ExitDistance,HasSupply,HasEnemy,ClosestEnemy,ClosestEnemyToSupply,Utility,Action
6,Yes,Yes,1,0,46,GetFood
5,Yes,Yes,0,0,27,GetFood
5,Yes,Yes,0,1,9,GetFood
4,Yes,Yes,1,1,10,GetFood
3,Yes,Yes,2,1,11,GetFood
3,Yes,Yes,2,1,11,GetFood
2,Yes,Yes,2.422454,3.422454,12,GetFood
1,Yes,Yes,3,0,3,GetExit
0,Yes,Yes,4,0,2,GetExit
0,Yes,Yes,4,0,2,GetExit
0,Yes,Yes,4,0,2,GetExit
0,Yes,Yes,6,3,14,GetFood
0,Yes,Yes,6,3,14,GetFood
0,Yes,Yes,5.392789,2.392789,14,GetFood
0,Yes,Yes,5,2,14,GetFood
0,Yes,Yes,5,2,14,GetFood
1,Yes,Yes,4,2,15,GetFood
2,Yes,Yes,2.361988,1.361988,16,GetFood
3,Yes,Yes,1,1,17,GetFood
3,Yes,Yes,1,1,17,GetFood
3,No,Yes,1,1000,-3,GetExit
3,No,Yes,0.4256656,1000,-3,GetExit
2,No,Yes,1,1000,-2,GetExit
1,No,Yes,2,1000,-1,GetExit
0,Yes,Yes,5,1,2,GetExit
0,Yes,Yes,5,1,2,GetExit
0,Yes,Yes,4.356983,0.3569829,2,GetExit
0,Yes,Yes,4,0,2,GetExit
0,Yes,Yes,4,0,2,GetExit
0,Yes,Yes,4,0,2,GetExit
0,Yes,Yes,3.416355,0.3900537,2,GetExit
7,Yes,Yes,1,0,25,GetFood
6,Yes,Yes,0,0,26,GetFood
5,Yes,Yes,0.5404992,0.4595008,27,GetFood
4,Yes,Yes,1,1,28,GetFood
3,Yes,Yes,0,1,29,GetFood
2,Yes,Yes,1,1,30,GetFood
1,Yes,Yes,1.380418,1.380418,29,GetFood
1,Yes,Yes,1,1,29,GetFood
1,Yes,Yes,1,1,29,GetFood
1,Yes,Yes,1,1,29,GetFood
1,Yes,Yes,0.400261,0.400261,29,GetFood
1,Yes,Yes,0,1,9,GetExit
